k,date,X_hat,Y_hat_MWh,PI_low,PI_high,SE_X
1,2011-01,-1.1021,101.3,65.8,155.9,0.22
2,2011-02,-0.728,147.2,92.8,233.5,0.2353
3,2011-03,-0.6642,156.9,98.5,249.9,0.2375
4,2011-04,-0.7603,142.6,89.4,227.2,0.2378
5,2011-05,0.153,355.3,222.9,566.3,0.2378
6,2011-06,0.5679,538.0,337.6,857.5,0.2378
7,2011-07,0.6954,611.2,383.5,974.2,0.2378
8,2011-08,0.7287,631.9,396.5,1007.2,0.2378
9,2011-09,0.7259,630.1,395.3,1004.3,0.2378
10,2011-10,0.5108,508.2,318.8,809.9,0.2378
11,2011-11,0.207,375.0,235.3,597.7,0.2378
12,2011-12,-0.0835,280.5,176.0,447.1,0.2378
