p,k,AIC,BIC,sigma_train,RMSE_test
1,3,334.33874292312936,343.6927243603796,2.6725955825901657,3.7520903104104932
2,6,284.20968493849557,302.9176478129961,2.259173541275,3.2450312341560603
3,9,265.57592035312933,293.6378646648801,2.0985471469558967,2.875465884508397
4,12,246.03036128069667,283.4462870296977,1.944026933689167,3.039201098927559
5,15,233.46513728723232,280.23504447348364,1.8389174530487664,3.126348458125708
6,18,227.3368446429586,283.4607332664602,1.773340053631765,3.33174852254823
7,21,231.40257615678317,296.88044621753505,1.7630999259553668,3.323459323245818
8,24,234.58764306761853,309.41949456562065,1.7483030607611667,3.269039564997014
9,27,236.91390984516943,321.0997427804218,1.729178493815418,3.259756404714994
10,30,231.67891538097186,325.2187297534745,1.6719802939626416,3.30161702570509
